support,itemsets,length
0.14733333333333334,frozenset({'apples'}),1
0.155,frozenset({'bananas'}),1
0.15666666666666668,frozenset({'beef'}),1
0.15966666666666668,frozenset({'bread'}),1
0.144,frozenset({'butter'}),1
0.15233333333333332,frozenset({'carrots'}),1
0.162,frozenset({'cereal'}),1
0.14833333333333334,frozenset({'cheese'}),1
0.15333333333333332,frozenset({'chocolate'}),1
0.14733333333333334,frozenset({'coffee'}),1
0.14933333333333335,frozenset({'cookies'}),1
0.14633333333333334,frozenset({'eggs'}),1
0.14133333333333334,frozenset({'flour'}),1
0.14266666666666666,frozenset({'juice'}),1
0.14366666666666666,frozenset({'milk'}),1
0.15166666666666667,frozenset({'oil'}),1
0.145,frozenset({'onions'}),1
0.152,frozenset({'pasta'}),1
0.154,frozenset({'pepper'}),1
0.14433333333333334,frozenset({'potatoes'}),1
0.15,frozenset({'rice'}),1
0.15133333333333332,frozenset({'salt'}),1
0.144,frozenset({'shampoo'}),1
0.14066666666666666,frozenset({'soap'}),1
0.149,frozenset({'sugar'}),1
0.15933333333333333,frozenset({'tea'}),1
0.15866666666666668,frozenset({'tomatoes'}),1
0.14833333333333334,frozenset({'toothpaste'}),1
0.147,frozenset({'yogurt'}),1
0.15533333333333335,frozenset({'chicken', 'bread'}),2
0.15266666666666667,frozenset({'bread', 'butter'} ),2
0.15466666666666667,frozenset({'frozen_foods'}),
0.15066666666666666,frozenset({'water'}),1
0.142,frozenset({'wine'}),1 
0.14666666666666667,frozenset({'vegetables'}),1
0.14966666666666667,frozenset({'snacks'}),1 
0.15533333333333335,frozenset({'nuts'}),1
0.14866666666666667,frozenset({'spices'}),1
0.15266666666666667,frozenset({'herbs'}),1
0.15466666666666667,frozenset({'frozen_foods'}),1
