0,1,2,3,4,5,6
bread,eggs,chocolate,apples,butter,cereal,flour
toothpaste,soap,chocolate,carrots,,,
pepper,cookies,salt,potatoes,tomatoes,,
carrots,chocolate,pepper,cheese,,,
sugar,butter,salt,pasta,cheese,,
cheese,pasta,bananas,,,,
toothpaste,juice,coffee,tea,tomatoes,bananas,eggs
sugar,shampoo,,,,,
tea,butter,beef,chocolate,toothpaste,cereal,
shampoo,bread,butter,eggs,,,
milk,cheese,chicken,,,,
beef,cheese,shampoo,,,,
oil,chocolate,butter,yogurt,rice,,
beef,carrots,tomatoes,salt,bread,toothpaste,butter
eggs,pasta,sugar,oil,beef,cheese,juice
oil,onions,bananas,beef,carrots,,
toothpaste,chocolate,oil,,,,
bananas,oil,beef,salt,onions,,
beef,juice,potatoes,butter,carrots,,
juice,chocolate,tomatoes,potatoes,,,
bread,butter,chocolate,pepper,yogurt,,
cheese,eggs,yogurt,flour,onions,,
milk,shampoo,cookies,,,,
sugar,yogurt,toothpaste,chicken,cereal,,
pepper,cheese,bread,pasta,,,
carrots,tomatoes,,,,,
onions,cookies,,,,,
potatoes,toothpaste,bananas,cereal,tea,,
chocolate,rice,butter,eggs,sugar,coffee,
coffee,shampoo,carrots,,,,
chocolate,juice,,,,,
soap,yogurt,,,,,
coffee,pepper,toothpaste,cheese,carrots,onions,potatoes
carrots,soap,yogurt,rice,eggs,sugar,coffee
beef,cereal,coffee,onions,chicken,bread,
butter,pasta,milk,,,,
toothpaste,butter,oil,juice,cheese,beef,bananas
pasta,shampoo,,,,,
flour,potatoes,milk,,,,
eggs,carrots,pasta,potatoes,flour,,
eggs,carrots,,,,,
pasta,potatoes,carrots,sugar,tea,,
onions,sugar,juice,milk,,,
onions,potatoes,apples,bread,tea,coffee,
rice,shampoo,juice,,,,
cookies,potatoes,cereal,bananas,pepper,flour,sugar
pasta,butter,sugar,bread,,,
tea,rice,bananas,,,,
flour,apples,chocolate,onions,,,
pasta,rice,cheese,salt,beef,,
rice,cheese,toothpaste,,,,
juice,cookies,,,,,
shampoo,pepper,flour,onions,,,
yogurt,milk,apples,coffee,beef,cookies,shampoo
butter,yogurt,,,,,
apples,shampoo,onions,,,,
oil,eggs,cheese,potatoes,,,
salt,eggs,shampoo,pepper,flour,tomatoes,chicken
tomatoes,pasta,apples,,,,
tomatoes,toothpaste,bread,pepper,,,
chicken,pasta,pepper,,,,
beef,chocolate,tomatoes,eggs,rice,,
pepper,bananas,eggs,,,,
cheese,carrots,salt,tea,,,
oil,beef,,,,,
oil,flour,,,,,
chocolate,pepper,coffee,bread,,,
juice,bread,beef,eggs,,,
onions,eggs,beef,pasta,oil,yogurt,rice
cookies,cereal,eggs,chocolate,bananas,sugar,
milk,chocolate,salt,cookies,,,
beef,oil,pepper,bananas,toothpaste,butter,
eggs,apples,tea,,,,
butter,tomatoes,salt,flour,,,
butter,toothpaste,yogurt,coffee,apples,,
butter,flour,tea,milk,,,
cereal,rice,milk,coffee,oil,butter,
tea,bananas,shampoo,flour,yogurt,,
apples,sugar,eggs,beef,yogurt,juice,
pasta,flour,,,,,
beef,butter,bread,juice,oil,chicken,
juice,salt,bananas,apples,,,
beef,eggs,,,,,
pepper,pasta,salt,tomatoes,chicken,,
chicken,cookies,yogurt,juice,tea,chocolate,sugar
cheese,sugar,flour,rice,chocolate,juice,salt
cookies,milk,pepper,salt,,,
rice,butter,onions,bread,pasta,flour,
chicken,tea,,,,,
chocolate,potatoes,toothpaste,salt,flour,bananas,
eggs,bananas,,,,,
potatoes,apples,,,,,
potatoes,oil,carrots,rice,coffee,pasta,milk
sugar,soap,tea,,,,
milk,eggs,bananas,,,,
apples,rice,,,,,
chicken,toothpaste,cheese,,,,
carrots,flour,sugar,potatoes,oil,eggs,
apples,beef,cereal,tomatoes,coffee,chicken,cheese
potatoes,toothpaste,shampoo,rice,onions,tomatoes,
shampoo,chicken,cereal,,,,
cookies,oil,,,,,
cereal,pepper,tea,soap,beef,yogurt,
tomatoes,pasta,yogurt,,,,
bananas,shampoo,,,,,
cookies,carrots,rice,salt,,,
sugar,bananas,,,,,
sugar,bananas,onions,coffee,tomatoes,salt,shampoo
salt,cereal,shampoo,sugar,yogurt,rice,chicken
rice,bread,cookies,butter,sugar,,
bananas,pepper,cheese,flour,eggs,,
cheese,tomatoes,apples,salt,butter,carrots,
pepper,chocolate,tomatoes,pasta,carrots,,
pasta,yogurt,juice,cereal,,,
yogurt,oil,chicken,bananas,shampoo,carrots,
flour,cereal,chocolate,tea,onions,milk,
bread,bananas,oil,cookies,,,
cookies,rice,soap,tomatoes,,,
toothpaste,salt,beef,potatoes,onions,carrots,chicken
butter,salt,,,,,
potatoes,eggs,toothpaste,bananas,soap,,
sugar,milk,juice,apples,tea,cookies,cereal
rice,butter,flour,salt,coffee,yogurt,
sugar,bananas,pepper,cereal,oil,cheese,cookies
carrots,cheese,onions,pasta,flour,,
carrots,milk,,,,,
bread,beef,carrots,butter,juice,,
cereal,milk,juice,beef,coffee,bananas,
flour,eggs,,,,,
bananas,pasta,sugar,beef,,,
tea,chocolate,onions,soap,beef,butter,shampoo
yogurt,potatoes,flour,,,,
yogurt,pasta,,,,,
onions,apples,cereal,shampoo,,,
yogurt,bread,cheese,cookies,salt,,
coffee,milk,toothpaste,salt,,,
cookies,salt,coffee,shampoo,potatoes,onions,tomatoes
bread,cookies,flour,pepper,onions,carrots,
juice,sugar,beef,cookies,apples,,
chicken,tomatoes,onions,juice,pasta,salt,soap
bread,cheese,pasta,juice,,,
chocolate,chicken,pasta,tomatoes,toothpaste,,
cookies,milk,,,,,
butter,tea,,,,,
toothpaste,bananas,carrots,pepper,oil,cheese,flour
salt,butter,,,,,
cereal,rice,oil,bananas,bread,,
pasta,soap,tomatoes,salt,toothpaste,tea,
chicken,pepper,beef,apples,oil,onions,bread
beef,cereal,shampoo,tea,pasta,chocolate,pepper
bananas,carrots,sugar,oil,,,
chocolate,carrots,butter,coffee,bread,salt,bananas
chicken,onions,flour,apples,salt,bananas,carrots
bananas,cereal,pepper,coffee,,,
cheese,chicken,coffee,juice,oil,,
apples,milk,tomatoes,,,,
butter,bread,pasta,oil,bananas,onions,chocolate
tomatoes,soap,yogurt,beef,pepper,rice,onions
sugar,apples,tea,,,,
pepper,shampoo,flour,oil,,,
oil,pepper,,,,,
potatoes,juice,apples,,,,
cookies,beef,eggs,salt,,,
